Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DD,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2014-04-30,18.721446990966797,88.9229736328125,77.38072967529297,110.89164733886719,83.0929183959961,51.650001525878906,17.711118698120117,87.16725158691406,73.01789093017578,57.215911865234375,138.17417907714844,65.65770721435547,74.43186950683594,131.8397979736328,21.0602970123291,80.58452606201172,44.16825485229492,31.094818115234375,80.72858428955078,108.3161849975586,42.82101821899414,34.67552947998047,33.29853439331055,64.93632507324219,74.37398529052734,65.81128692626953,47.8009033203125,31.662044525146484,53.483848571777344,66.07808685302734
2014-05-01,18.765546798706055,89.7266845703125,76.84082794189453,110.41033172607422,82.83277893066406,52.08000183105469,17.634483337402344,86.76447296142578,73.22034454345703,55.85144805908203,138.64964294433594,65.509033203125,73.90306091308594,129.86692810058594,20.870922088623047,79.97987365722656,43.963111877441406,31.08719253540039,80.39414978027344,109.65563201904297,43.59611129760742,34.332210540771484,33.28483963012695,64.77112579345703,74.57923126220703,65.73234558105469,48.62192153930664,31.99404525756836,54.68899917602539,66.06977081298828
2014-05-02,18.80044937133789,89.45610809326172,76.9382095336914,111.68238067626953,82.78547668457031,52.439998626708984,17.580839157104492,86.6116943359375,73.91059112548828,55.82852554321289,137.36148071289062,65.5668716430664,74.0072250366211,128.46444702148438,20.83935546875,79.00928497314453,43.8526496887207,31.216785430908203,80.76839447021484,109.1183090209961,42.5723876953125,34.06612014770508,33.3167839050293,64.44072723388672,74.71882629394531,65.80252838134766,48.22792434692383,31.926284790039062,54.24001693725586,65.5889892578125
2014-05-05,19.066314697265625,90.06085968017578,77.31877136230469,113.41857147216797,82.39913940429688,53.650001525878906,17.596162796020508,87.05614471435547,74.74808502197266,56.59672927856445,135.17417907714844,64.9805679321289,74.19952392578125,128.3436279296875,20.827415466308594,79.55823516845703,42.77961349487305,31.07194709777832,80.5374755859375,109.49988555908203,42.8721923828125,33.84296798706055,33.45375061035156,64.26769256591797,74.43145751953125,65.97791290283203,48.86729431152344,32.10922622680664,55.01982116699219,65.17448425292969
2014-05-06,18.858509063720703,89.34471130371094,76.29210662841797,112.44734191894531,81.88671875,51.779998779296875,17.412233352661133,86.78528594970703,74.5732192993164,56.310096740722656,133.6092529296875,63.93181610107422,73.37427520751953,127.51824188232422,20.851299285888672,79.16837310791016,42.085296630859375,30.866117477416992,80.38616943359375,108.47197723388672,41.7607307434082,33.52540969848633,32.9790153503418,63.81930160522461,73.7992172241211,66.00422668457031,48.44970703125,32.16343688964844,54.1770133972168,64.66881561279297
2014-05-07,18.792518615722656,89.734619140625,77.86752319335938,112.66339874267578,82.47799682617188,50.43000030517578,17.52718734741211,87.66031646728516,73.8921890258789,56.78018569946289,134.45651245117188,63.65106201171875,74.4478988647461,127.76797485351562,20.986587524414062,80.28219604492188,42.645484924316406,31.186281204223633,81.1904296875,109.91262817382812,40.832061767578125,33.83439254760742,32.94705581665039,64.57447814941406,74.77630615234375,68.32833099365234,49.2376823425293,32.590293884277344,55.035579681396484,65.02745056152344
2014-05-08,18.759014129638672,88.151123046875,78.43395233154297,112.85355377197266,82.73026275634766,50.150001525878906,17.642147064208984,86.86863708496094,75.09781646728516,56.42472839355469,136.0819091796875,63.62625503540039,74.47994232177734,127.50475311279297,20.96271514892578,79.95603942871094,42.89007568359375,31.049074172973633,81.18245697021484,109.67120361328125,40.09351348876953,34.02322006225586,33.34419250488281,64.6295394897461,74.91590881347656,67.43376159667969,49.75672149658203,32.85453414916992,54.106117248535156,65.6363754272461
2014-05-09,18.680858612060547,88.70813751220703,78.62865447998047,113.31163787841797,82.82487487792969,50.279998779296875,17.642147064208984,86.82696533203125,75.4198989868164,56.493534088134766,135.9089813232422,64.17131042480469,74.35174560546875,128.29443359375,20.930877685546875,80.28219604492188,42.61392593383789,31.155805587768555,81.96285247802734,110.06836700439453,40.371368408203125,33.93739700317383,33.52676010131836,64.81047821044922,74.96515655517578,67.48636627197266,49.735477447509766,32.84775924682617,54.08248519897461,66.061767578125
2014-05-12,18.91343116760254,88.90704345703125,79.35441589355469,114.60809326171875,83.72359466552734,53.43000030517578,17.772430419921875,86.97281646728516,75.85246276855469,57.468170166015625,137.9407196044922,64.63373565673828,75.62564849853516,129.9750518798828,20.986587524414062,79.97195434570312,43.11888885498047,31.11769676208496,81.90709686279297,111.22093963623047,40.42987823486328,34.30646514892578,34.06538009643555,64.29126739501953,75.57275390625,68.17919158935547,49.94545364379883,32.630943298339844,54.62599563598633,66.02006530761719
2014-05-13,18.943103790283203,88.65901184082031,78.84992980957031,115.34280395507812,84.47254180908203,52.279998779296875,17.519521713256836,87.39642333984375,75.53955841064453,57.38789749145508,138.57186889648438,63.807945251464844,75.48944854736328,129.71859741210938,21.050256729125977,80.36972045898438,43.09522247314453,31.338756561279297,82.44061279296875,110.91722869873047,40.76625061035156,34.93744659423828,34.04713439941406,64.19689178466797,76.28709411621094,68.44232940673828,50.030391693115234,32.4209098815918,54.79927444458008,66.01173400878906
